,permno,date,ret,pred
0,14593,202112,0.074229,0.21803840483884634
1,14593,202109,-0.068037,0.14648725521555922
2,10107,202111,-0.001236,0.08633840371244311
3,10107,202112,0.017333,0.17908830791572788
4,14593,202111,0.10494,0.17376975334486172
5,14593,202108,0.042438,0.21870009909752092
6,14593,202110,0.058657,0.1972557564641016
7,10107,202109,-0.066119,0.12385949128708046
8,14593,202107,0.064982,0.19894901976484664
9,14593,202101,-0.005502,0.0963250430447889
10,14593,202102,-0.079532,0.13528714149889726
11,14593,202009,-0.102526,0.01003505871512439
12,14593,202105,-0.050434,0.08125591040303254
13,10107,202108,0.061528,0.1845884426662851
14,10107,202110,0.176291,0.13435688836272236
15,14593,202106,0.099109,0.15242947829959358
16,14593,202104,0.076218,0.06276324193047161
17,10107,202107,0.051717,0.1799434601782321
18,14593,202103,0.00734,0.12189102424073889
19,14593,202012,0.114574,0.0813399310985366
20,14593,202010,-0.060012,-0.01823684741689552
21,10107,202105,-0.007693,0.08518976753144908
22,10107,202106,0.084989,0.13404893981008165
23,14593,202011,0.09549,0.07996592490010418
24,14593,202008,0.216309,0.03789935158809077
25,84788,202112,-0.049252,0.2210276783605411
26,10107,202104,0.069602,0.10081451418506632
27,84788,202109,-0.053518,0.1035586931982389
28,10107,202103,0.014588,0.12988803544383315
29,10107,202102,0.004225,0.10150846188817281
30,84788,202105,-0.07047,-0.009311107794457374
31,84788,202107,-0.032722,0.05343205535340939
32,84788,202009,-0.087579,0.05693807781335031
33,84788,202111,0.039924,0.13641792575766037
34,10107,202009,-0.067397,-0.012366212007419108
35,84788,202108,0.043034,0.1135198842301069
36,10107,202101,0.042892,0.09010750653347838
37,84788,202110,0.026602,0.14140970479656584
38,84788,202101,-0.015576,0.1502451336265535
39,84788,202106,0.067355,0.07996621327263803
40,10107,202012,0.039006,0.07178076598310135
41,84788,202102,-0.035328,0.15407749887086802
42,10107,202010,-0.03737,-0.031152716711629724
43,84788,202012,0.028058,0.13030996636065234
44,84788,202008,0.090461,0.05228056440323531
45,84788,202010,-0.035754,0.04273651113477511
46,14593,202007,0.165132,0.022996115115465177
47,84788,202104,0.120663,0.044975548060893045
48,84788,202103,0.000372,0.06595187196640434
49,10107,202008,0.10258,0.03839016875337903
50,10107,202007,0.007371,-0.03736010569707032
51,10107,202011,0.060058,0.08353254916227576
52,84788,202011,0.04344,0.13704438869431818
53,10107,202006,0.110559,-0.03236959358292696
54,84788,202007,0.147114,0.008800993761322595
55,14593,202006,0.147386,0.03723631725491239
56,10107,202005,0.025389,-0.12041574824690537
57,14593,202002,-0.11431,0.0676574292994842
58,10107,202002,-0.045292,0.025622945528909813
59,14593,202001,0.05401,0.1807732486898847
60,14593,202005,0.084956,-0.0526131858450119
61,84788,202005,-0.012785,-0.11052080229873351
62,10107,202003,-0.026541,-0.30819402408255014
63,84788,202006,0.129567,0.016919670535100684
64,10107,202001,0.079455,0.15152828188967987
65,10107,202004,0.136326,-0.2256890581136018
66,14593,202003,-0.069761,-0.18463697166739165
67,14593,201912,0.098784,0.14543202203402777
68,10107,201912,0.041749,0.1276639702035322
69,93436,202112,-0.076855,0.6046911107149118
70,93436,202111,0.027612,0.2667885080051691
71,14593,201911,0.077424,0.10715770012090625
72,14593,202004,0.155374,-0.1459688871209936
73,14593,201809,-0.008303,0.21037116717412713
74,10107,201911,0.059427,0.08760556713674977
75,14593,201810,-0.030478,0.17707097355159113
76,10107,201910,0.031216,0.0464272069062856
77,10107,201909,0.008487,0.03545408701766278
78,10107,201908,0.015044,0.07623744337896954
79,14593,201811,-0.180709,0.10295298615823295
80,10107,201907,0.017244,0.057017993246537835
81,10107,201905,-0.049464,0.09320683527541224
82,84788,202002,-0.062214,-0.05426658909548221
83,14593,201910,0.110684,0.04783252674564448
84,84788,201809,-0.004824,0.14894931508209747
85,84788,202004,0.2689,-0.15099072832005977
86,84788,201810,-0.202192,0.08845132513943604
87,14593,201908,-0.01657,0.030432682443076398
88,84788,201905,-0.078613,-0.0038810925633662174
89,10107,201906,0.083118,0.07447757221252699
90,14593,201909,0.072962,-0.012601273276974634
91,14542,202111,-0.039242,0.16538567742735005
92,84788,202003,0.035021,-0.1921880434227288
93,84788,201907,-0.014179,-0.06151471712294482
94,14542,202109,-0.083847,0.14779315261760168
95,84788,201908,-0.048474,-0.047073742455062906
96,14593,201905,-0.123735,0.024569056376381404
97,84788,202001,0.087064,0.0842482875541059
98,14593,201808,0.200063,0.17463699488595558
99,14593,201806,-0.009418,0.1639301046435821
100,14542,202112,0.015637,0.24182197585569737
101,13407,202109,-0.105409,0.14971135253847706
102,10107,201904,0.107343,0.11752237249553615
103,14593,201803,-0.058051,0.06818093168696476
104,14593,201907,0.076394,0.02279266834138094
105,14593,201807,0.027983,0.17270259167206853
106,14593,201904,0.056436,0.0684395097822727
107,84788,201912,0.026122,0.08219217297258358
108,90319,202111,-0.041531,0.15102043689570172
109,84788,201911,0.013587,0.04163721436752865
110,84788,201909,-0.022733,-0.09468680510553806
111,10107,201810,-0.066101,0.14428897584580042
112,84788,201904,0.081859,0.01720293801729922
113,84788,201906,0.066792,-0.03075927646405552
114,90319,202109,-0.076169,0.16382861167474444
115,84788,201808,0.132365,0.12382821610923139
116,14542,202108,0.075735,0.11596574162071033
117,10107,201809,0.018161,0.16126487789583516
118,14593,201801,-0.010636,0.18799034487813587
119,10107,201903,0.052754,0.056920945482932694
120,84788,201910,0.023475,-0.033830950034665574
121,90319,202112,0.020821,0.2390345330531986
122,10107,201812,-0.084047,-0.03548064971450232
123,14593,201802,0.06761,0.15398761271772515
124,13407,202108,0.064777,0.1356229542451512
125,14542,202110,0.112595,0.14191134334348182
126,14593,201812,-0.116698,-0.10464288475519795
127,84788,201902,-0.045906,-0.14121516996229583
128,13407,202107,0.024704,0.14715316000780915
129,14593,201804,-0.01502,0.10935907645322279
130,84788,201807,0.045676,0.08739783707949128
131,84788,201812,-0.11135,-0.17247370109661364
132,10107,201811,0.042505,0.09255755500337931
133,86580,202112,-0.099798,0.4159483912916004
134,14593,201903,0.097026,0.044921654365951524
135,10107,201808,0.062877,0.14589496835942067
136,14593,201805,0.135181,0.0954123643024935
137,90319,202108,0.074009,0.09397804104772461
138,84788,201903,0.085936,-0.06417640185366591
139,13407,202110,-0.046613,0.1577488025209201
140,14593,201906,0.130519,0.04969804003369355
141,14542,202107,0.07904,0.13464815211113385
142,90319,202110,0.107499,0.15556639696808944
143,10107,201902,0.077181,-0.019819457706667154
144,84788,201806,0.043065,0.10039078927254713
145,13407,202106,0.057737,0.13219551616434871
146,14593,201902,0.044701,-0.09998779445143696
147,84788,201811,0.057672,0.00018787161875372105
148,10107,201901,0.028158,0.011736780231869914
149,14542,202106,0.039294,0.11864452365911343
150,14542,202105,0.000597,0.04616070336811018
151,13407,202105,0.011228,0.047634132965754306
152,93436,202110,0.43653,0.38220875648280134
153,13407,202112,0.036646,0.2814811963112605
154,13407,202111,0.002751,0.16513608979136946
155,93436,202102,-0.14874,0.08499942296027879
156,84788,201805,0.040539,0.030632697989458224
157,10107,201806,-0.002327,0.12426327000490262
158,10107,201807,0.075753,0.15088297882993368
159,14593,201901,0.055154,-0.04060279816874318
160,93436,202109,0.054042,0.2973382278651974
161,90319,202107,0.103506,0.15700009394125852
162,84788,201901,0.144317,-0.12223173966120171
163,84788,201803,-0.043049,0.07214196097812325
164,10107,201802,-0.008631,0.16354988391510533
165,10107,201803,-0.026661,0.08151385494968871
166,10107,201805,0.061377,0.07976974115356955
167,90319,202106,0.03604,0.12866378453160526
168,90319,202105,0.001423,0.048836969903279126
169,13407,202104,0.103725,0.10165171078208662
170,13407,202009,-0.106753,-0.003242016073429055
171,84788,201802,0.042429,0.1501540120844707
172,84788,201804,0.082075,0.05925559418940407
173,10107,201804,0.024652,0.07601359974227329
174,93436,202105,-0.118713,0.26550478975059294
175,93436,202108,0.070605,0.5604202111275709
176,93436,202101,0.124506,0.0492487242222977
177,14542,202104,0.16508,0.0890075104116444
178,93436,202107,0.011034,0.4231029844288053
179,14542,202103,0.015597,0.09549599461168884
180,13407,202012,-0.013756,0.07146538926634377
181,10107,201801,0.110708,0.20318165301411256
182,13407,202101,-0.054291,0.12219098596565764
183,93436,202103,-0.011207,0.2697254768357696
184,93436,202104,0.062147,0.4323369734489562
185,86580,202111,0.278054,0.24979207862847258
186,13407,202011,0.052678,0.07911973021128688
187,13407,202010,0.00462,0.06727792772429325
188,13407,202102,-0.002748,0.1457299275121246
189,90319,202104,0.14108,0.0952349196771371
190,13407,202103,0.143273,0.14589596439874913
191,13407,202008,0.155832,0.045638341907002555
192,90319,202103,0.020085,0.09248706177364746
193,93436,202106,0.087137,0.45774998804994843
194,14542,202102,0.109558,0.13702802513064477
195,14542,202012,-0.005032,0.09845940920148705
196,14542,202101,0.047869,0.12060420188521509
197,84788,201801,0.240639,0.12514337453232133
198,86580,202109,-0.074559,0.17356509075872645
199,90319,202102,0.106465,0.13174361238184712
200,13407,202007,0.117144,-0.0013262447334498328
201,14542,202009,-0.100711,0.10575155026309874
202,13407,202006,0.008797,0.05135758544449859
203,93436,202012,0.243252,-0.01828970969577709
204,14542,202011,0.086199,0.10258432891505193
205,90319,202012,-0.001003,0.10073775090484466
206,90319,202101,0.042633,0.12517303469930158
207,86580,202110,0.234167,0.27266351651187143
208,47896,202111,-0.065101,0.1733637760341737
209,86580,202107,-0.025172,0.1712262542159913
210,47896,202106,-0.052971,0.17409349109215572
211,14542,202008,0.101972,0.12278552216946709
212,13407,202001,-0.016273,0.10547986917894042
213,13407,202005,0.099555,-0.009322513019573708
214,90319,202009,-0.1006,0.11419401049479133
215,47896,202110,0.043986,0.17247788249329415
216,14542,202002,-0.066168,0.053703070488355376
217,86580,202108,0.148213,0.23520706633814376
218,14542,202010,0.103028,0.07093389563186986
219,90319,202011,0.08557,0.10146462612102553
220,13407,202002,-0.046754,-0.010097997580226892
221,13407,201912,0.017903,0.0838351227901803
222,14542,202006,-0.010714,0.08354903004503761
223,47896,202109,0.023382,0.20200550276810797
224,14542,202007,0.049059,0.0676371636918659
225,47896,202107,-0.018388,0.14971125914424238
226,47896,202112,-0.003022,0.2215088001403937
227,13407,201807,-0.111877,0.1328280076625396
228,13407,201908,-0.044071,0.052172022395995776
229,47896,202105,0.067811,0.14558872352149316
230,13407,201905,-0.082368,0.09642933296058259
231,13407,201907,0.006373,-0.0074706135985015965
232,47896,202104,0.016291,0.1361729970211248
233,93436,202009,-0.139087,-0.0508396525167461
234,13407,202003,-0.133371,-0.09420002606707134
235,13407,201911,0.052126,0.03184013950282433
236,13407,201806,0.013244,0.10746034909107577
237,47896,202108,0.053828,0.1976420737550984
238,14542,202001,0.072706,0.13784235427914987
239,14542,202003,-0.131797,-0.14256319164747372
240,22111,202109,-0.067175,0.183208019161812
241,14542,202005,0.059511,-0.0009399714294862638
242,22111,202108,0.011556,0.21524708833531475
243,47896,202103,0.034382,0.15590261158188307
244,14542,201912,0.024568,0.11556906857940225
245,13407,201802,-0.045856,0.12324116716112216
246,90319,202008,0.095151,0.11867602375309011
247,13407,201909,-0.040879,0.029300251236591413
248,22111,202106,-0.026647,0.15881015921114577
249,90319,202010,0.102695,0.07793555045990658
250,47896,202001,-0.044046,0.0736510811257714
251,92655,202111,-0.03529,0.2018551733224298
252,22111,202107,0.045283,0.1887202419384662
253,55976,202012,-0.053014,0.157466665024322
254,14542,201911,0.035592,0.09763697224192175
255,22111,202104,-0.009857,0.10386012531215588
256,90319,202006,-0.010792,0.08580186658341898
257,90319,202002,-0.065279,0.055294574040039624
258,22111,202102,-0.022436,0.16454704757027722
259,13407,201910,0.076202,0.028833909277663605
260,22111,202111,-0.036162,0.1990445802065431
261,22111,202105,0.04658,0.11110819853755344
262,13407,201803,-0.103914,0.03985381815411709
263,13407,201906,0.087508,0.08971670164817985
264,14542,201809,-0.020292,0.19445904390507524
265,14542,201808,0.000764,0.18003846697410836
266,90319,202007,0.049293,0.07084520035281178
267,22111,202110,0.008545,0.21124877150235927
268,13407,201809,-0.064132,0.14101789307711093
269,13407,201801,0.059107,0.16289344871083683
270,14542,201908,-0.02349,0.012271899541312525
271,14542,201910,0.033724,0.06462932362440771
272,92655,202112,0.13365,0.2576213507209622
273,66181,202112,0.040064,0.2582750404861967
274,14542,201810,-0.097782,0.2038389864768529
275,55976,202111,-0.058827,0.1954192721233015
276,22111,202103,0.03717,0.12867778356625886
277,13407,201808,0.018252,0.050032145692090746
278,92611,202108,-0.068875,0.159270986445103
279,47896,202002,-0.122771,0.008720099280655924
280,55976,202109,-0.058879,0.16426185312770986
281,22111,202101,0.036536,0.16053246597393694
282,14542,201905,-0.071394,0.06948569536985721
283,47896,201912,0.057984,0.05736842395406083
284,14542,201909,0.026008,0.04089372447292222
285,13407,201805,0.115,0.05247432561917237
286,22111,202112,0.097095,0.22544827531662331
287,14542,201802,-0.055738,0.13019825111375166
288,14542,201904,0.012929,0.13341698188425494
289,55976,202101,-0.02539,0.18398774278726832
290,93436,202010,-0.095499,-0.021386756611324997
291,86580,202106,0.231586,0.15101379088771533
292,90319,202005,0.064469,-0.0038179717877533936
293,22111,202009,-0.029529,0.19950142546173416
294,59408,202111,-0.069276,0.1493669777511752
295,90319,202003,-0.132388,-0.1385368130441677
296,90319,202001,0.069726,0.15948030870723734
297,47896,201802,-0.00147,0.10287395207272193
298,13407,202004,0.227278,-0.04746788797691692
299,13407,201904,0.160238,0.08315838544566262
300,55976,202106,-0.007111,0.18445290073889048
301,55976,202108,0.042792,0.2445801679799839
302,47896,201911,0.054755,0.002969391286276768
303,13407,201902,-0.031436,-0.03477087418172781
304,55976,202102,-0.075237,0.18761080185946438
305,55976,202010,-0.008291,0.1148481071435204
306,47896,201803,-0.047879,0.042039575376895455
307,92611,202107,0.053759,0.19291566869982596
308,22111,202005,-0.001866,0.10330778772371058
309,55976,202107,0.01085,0.20352746462147792
310,92611,202105,-0.025432,0.16815136447484308
311,13407,201810,-0.07704,0.08712728250397711
312,22111,201812,-0.121511,0.08119464696474005
