,permno,date,ret,pred
0,14593,202112,0.074229,-0.005359359199079558
1,14593,202109,-0.068037,-0.0028881720870108808
2,10107,202111,-0.001236,-0.0024931525614250317
3,10107,202112,0.017333,0.00019689203501020887
4,14593,202111,0.10494,0.0001864110015040773
5,14593,202108,0.042438,0.00029417535189181325
6,14593,202110,0.058657,0.0019273343857695423
7,10107,202109,-0.066119,-0.0008235310606687519
8,14593,202107,0.064982,0.0025319853836565983
9,14593,202101,-0.005502,9.697752618029361e-05
10,14593,202102,-0.079532,0.004133757674333849
11,14593,202009,-0.102526,-0.0015071754591959013
12,14593,202105,-0.050434,0.0036521438435991992
13,10107,202108,0.061528,0.0013885361330129246
14,10107,202110,0.176291,0.0038810197586992886
15,14593,202106,0.099109,0.007587716888810164
16,14593,202104,0.076218,0.009224837010761293
17,10107,202107,0.051717,0.0009255001137152222
18,14593,202103,0.00734,0.011671857636705208
19,14593,202012,0.114574,0.00140674799474016
20,14593,202010,-0.060012,0.0032190667512299303
21,10107,202105,-0.007693,0.0024464486053361167
22,10107,202106,0.084989,0.004738946352000914
23,14593,202011,0.09549,0.005325917412443442
24,14593,202008,0.216309,0.0041111224679205634
25,84788,202112,-0.049252,0.003770115751280124
26,10107,202104,0.069602,0.00660005449865393
27,84788,202109,-0.053518,0.0030520282261210143
28,10107,202103,0.014588,0.007627451511255287
29,10107,202102,0.004225,0.005096631847824178
30,84788,202105,-0.07047,0.004127956533165141
31,84788,202107,-0.032722,0.005155396068902104
32,84788,202009,-0.087579,0.0002516390439211893
33,84788,202111,0.039924,0.0057614785310429305
34,10107,202009,-0.067397,0.0029600478448695896
35,84788,202108,0.043034,0.006024534044553316
36,10107,202101,0.042892,0.0062808855856107005
37,84788,202110,0.026602,0.006489810130440454
38,84788,202101,-0.015576,0.008560187467487301
39,84788,202106,0.067355,0.009720213380975755
40,10107,202012,0.039006,0.005477553063963305
41,84788,202102,-0.035328,0.010842558970948426
42,10107,202010,-0.03737,0.006531214615621813
43,84788,202012,0.028058,0.007249586049734096
44,84788,202008,0.090461,0.001292358010564718
45,84788,202010,-0.035754,0.005643779274691249
46,14593,202007,0.165132,0.006607534894335942
47,84788,202104,0.120663,0.011192036717499165
48,84788,202103,0.000372,0.013625849444771907
49,10107,202008,0.10258,0.006948215073810287
50,10107,202007,0.007371,0.004027954918340003
51,10107,202011,0.060058,0.008464538440164307
52,84788,202011,0.04344,0.009607762162807435
53,10107,202006,0.110559,0.007498254704229193
54,84788,202007,0.147114,0.002177941397124754
55,14593,202006,0.147386,0.009828630683995023
56,10107,202005,0.025389,0.004197534266033044
57,14593,202002,-0.11431,0.007546325202671881
58,10107,202002,-0.045292,0.007804335520637086
59,14593,202001,0.05401,0.006779964499169089
60,14593,202005,0.084956,0.006517282990801619
61,84788,202005,-0.012785,0.00043312152619941376
62,10107,202003,-0.026541,0.010011402045340902
63,84788,202006,0.129567,0.006871017445956707
64,10107,202001,0.079455,0.009422954051402267
65,10107,202004,0.136326,0.009543901337154723
66,14593,202003,-0.069761,0.011540088142800173
67,14593,201912,0.098784,0.004558257541957439
68,10107,201912,0.041749,0.007265399200738506
69,93436,202112,-0.076855,-0.000930839236484177
70,93436,202111,0.027612,0.00041671208320742843
71,14593,201911,0.077424,0.004855366866432278
72,14593,202004,0.155374,0.01175517626020327
73,14593,201809,-0.008303,0.005077361566190543
74,10107,201911,0.059427,0.009576940797080482
75,14593,201810,-0.030478,0.008880640958421138
76,10107,201910,0.031216,0.008036904756340656
77,10107,201909,0.008487,0.007490255122925305
78,10107,201908,0.015044,0.007157565342198106
79,14593,201811,-0.180709,0.008496708778716748
80,10107,201907,0.017244,0.006352746267244207
81,10107,201905,-0.049464,0.007409235618183503
82,84788,202002,-0.062214,0.007820910938652762
83,14593,201910,0.110684,0.005820475723822055
84,84788,201809,-0.004824,0.009946851310486652
85,84788,202004,0.2689,0.008070137479355767
86,84788,201810,-0.202192,0.012604095741117967
