,permno,date,ret,pred
0,14593,202112,0.074229,0.010316273537130466
1,14593,202109,-0.068037,0.010320010911392
2,10107,202111,-0.001236,0.010317448101746987
3,10107,202112,0.017333,0.010322305851331445
4,14593,202111,0.10494,0.010321581212477872
5,14593,202108,0.042438,0.010321178787241782
6,14593,202110,0.058657,0.010325145313080833
7,10107,202109,-0.066119,0.010321013071561276
8,14593,202107,0.064982,0.010322097617041998
9,14593,202101,-0.005502,0.010320044225676213
10,14593,202102,-0.079532,0.010324568901181174
11,14593,202009,-0.102526,0.010316707012907171
12,14593,202105,-0.050434,0.010322847218968277
13,10107,202108,0.061528,0.010322559066963898
14,10107,202110,0.176291,0.010326369544791342
15,14593,202106,0.099109,0.0103280172903623
16,14593,202104,0.076218,0.010327508690189292
17,10107,202107,0.051717,0.010321649702874304
18,14593,202103,0.00734,0.010330701043610028
19,14593,202012,0.114574,0.01032154931414926
20,14593,202010,-0.060012,0.010325243021886045
21,10107,202105,-0.007693,0.010322934566514256
22,10107,202106,0.084989,0.010325880634788336
23,14593,202011,0.09549,0.010326719248805264
24,14593,202008,0.216309,0.010321793912538069
25,84788,202112,-0.049252,0.0103251517601535
26,10107,202104,0.069602,0.010326532429225274
27,84788,202109,-0.053518,0.01032513001428846
28,10107,202103,0.014588,0.010327485216052439
29,10107,202102,0.004225,0.01032534051952017
30,84788,202105,-0.07047,0.010323722399512406
31,84788,202107,-0.032722,0.010325571340097794
32,84788,202009,-0.087579,0.01032037947357007
33,84788,202111,0.039924,0.010326576508017658
34,10107,202009,-0.067397,0.010322316421738678
35,84788,202108,0.043034,0.01032812105494568
36,10107,202101,0.042892,0.010325959091256736
37,84788,202110,0.026602,0.010329107437017369
38,84788,202101,-0.015576,0.010327245981026665
39,84788,202106,0.067355,0.01033079024494049
40,10107,202012,0.039006,0.010325178584577046
41,84788,202102,-0.035328,0.01033004593993521
42,10107,202010,-0.03737,0.010327631893015984
43,84788,202012,0.028058,0.010326286014224055
44,84788,202008,0.090461,0.010320496675382342
45,84788,202010,-0.035754,0.010326864120540681
46,14593,202007,0.165132,0.010324087004909449
47,84788,202104,0.120663,0.01033008551918984
48,84788,202103,0.000372,0.010332175896333947
49,10107,202008,0.10258,0.010326655026359278
50,10107,202007,0.007371,0.010322963174466727
51,10107,202011,0.060058,0.010328802724912543
52,84788,202011,0.04344,0.010329041133268223
53,10107,202006,0.110559,0.010326940839050546
54,84788,202007,0.147114,0.010321795072688362
55,14593,202006,0.147386,0.01032756394689768
56,10107,202005,0.025389,0.010323020408356589
57,14593,202002,-0.11431,0.010326237708190125
58,10107,202002,-0.045292,0.010326112064263407
59,14593,202001,0.05401,0.010325055474055852
60,14593,202005,0.084956,0.010324720014601432
61,84788,202005,-0.012785,0.01031839153983851
62,10107,202003,-0.026541,0.010329813044550808
63,84788,202006,0.129567,0.01032761595719012
64,10107,202001,0.079455,0.010327911868736286
65,10107,202004,0.136326,0.010329431726273493
66,14593,202003,-0.069761,0.010332280780822016
67,14593,201912,0.098784,0.010324510646563787
68,10107,201912,0.041749,0.010326414551634775
69,93436,202112,-0.076855,0.010315026013283716
70,93436,202111,0.027612,0.010309412672245912
71,14593,201911,0.077424,0.010324431132964012
72,14593,202004,0.155374,0.010332261724707298
73,14593,201809,-0.008303,0.010323136173253165
74,10107,201911,0.059427,0.010328464727409234
75,14593,201810,-0.030478,0.01032903898833069
76,10107,201910,0.031216,0.010327917456343465
77,10107,201909,0.008487,0.010327490717427827
78,10107,201908,0.015044,0.010327236688162302
79,14593,201811,-0.180709,0.010329581051994607
80,10107,201907,0.017244,0.010325338291035505
81,10107,201905,-0.049464,0.010325548681197137
82,84788,202002,-0.062214,0.010326517377219345
83,14593,201910,0.110684,0.010325951063188472
84,84788,201809,-0.004824,0.010325402290281333
85,84788,202004,0.2689,0.010327897456271133
86,84788,201810,-0.202192,0.010329214132202787
87,14593,201908,-0.01657,0.010325923628576414
88,84788,201905,-0.078613,0.010325394889902861
89,10107,201906,0.083118,0.010330829983449401
90,14593,201909,0.072962,0.010327961402788272
91,14542,202111,-0.039242,0.010327389501499381
92,84788,202003,0.035021,0.010331539356241874
93,84788,201907,-0.014179,0.0103253054463727
94,14542,202109,-0.083847,0.01032751371242955
95,84788,201908,-0.048474,0.0103288663475237
96,14593,201905,-0.123735,0.010329501523394508
97,84788,202001,0.087064,0.010329659856644738
98,14593,201808,0.200063,0.010330264738741697
99,14593,201806,-0.009418,0.010327438091932067
100,14542,202112,0.015637,0.010331713120998625
101,13407,202109,-0.105409,0.010326016742072085
102,10107,201904,0.107343,0.010329263274606038
103,14593,201803,-0.058051,0.010329938732750307
104,14593,201907,0.076394,0.01032444149982731
105,14593,201807,0.027983,0.010331957449571352
106,14593,201904,0.056436,0.010329310759948593
107,84788,201912,0.026122,0.010328961660438663
108,90319,202111,-0.041531,0.010327627438703763
109,84788,201911,0.013587,0.010330024466817873
110,84788,201909,-0.022733,0.01032904359486399
111,10107,201810,-0.066101,0.010329132023793004
112,84788,201904,0.081859,0.010327538539862917
113,84788,201906,0.066792,0.010331448347842708
114,90319,202109,-0.076169,0.010327820486192242
115,84788,201808,0.132365,0.010328903330835615
116,14542,202108,0.075735,0.010327752592447198
117,10107,201809,0.018161,0.010328151792774323
118,14593,201801,-0.010636,0.010332208305736328
119,10107,201903,0.052754,0.010328283328933917
120,84788,201910,0.023475,0.010329742648051999
121,90319,202112,0.020821,0.01033187792324243
122,10107,201812,-0.084047,0.010329451993076754
123,14593,201802,0.06761,0.010332376745776908
124,13407,202108,0.064777,0.010328662805090996
125,14542,202110,0.112595,0.010333647080086682
126,14593,201812,-0.116698,0.010336806934819311
127,84788,201902,-0.045906,0.0103251919103537
128,13407,202107,0.024704,0.010329515748821565
129,14593,201804,-0.01502,0.010333378267905355
130,84788,201807,0.045676,0.0103265009705973
131,84788,201812,-0.11135,0.010329584033805744
132,10107,201811,0.042505,0.010332374399917247
133,86580,202112,-0.099798,0.010314708017613415
134,14593,201903,0.097026,0.010330737580107958
135,10107,201808,0.062877,0.010328861053834442
136,14593,201805,0.135181,0.010333044035264614
137,90319,202108,0.074009,0.010327261480356948
138,84788,201903,0.085936,0.010331396465387544
139,13407,202110,-0.046613,0.010333604355361872
140,14593,201906,0.130519,0.010333955899667145
141,14542,202107,0.07904,0.010329199714845813
142,90319,202110,0.107499,0.010333617376798276
143,10107,201902,0.077181,0.01033020962821117
144,84788,201806,0.043065,0.010326783608965051
145,13407,202106,0.057737,0.010331493497613623
146,14593,201902,0.044701,0.010330088557330528
147,84788,201811,0.057672,0.010337407533357853
148,10107,201901,0.028158,0.010333836532519864
149,14542,202106,0.039294,0.010330523059651767
150,14542,202105,0.000597,0.010325205661347071
151,13407,202105,0.011228,0.01032866605005834
152,93436,202110,0.43653,0.010324267565275595
153,13407,202112,0.036646,0.010330798624060946
154,13407,202111,0.002751,0.01033288280827491
155,93436,202102,-0.14874,0.010323195059024648
156,84788,201805,0.040539,0.010325912025784352
157,10107,201806,-0.002327,0.010329181931080867
158,10107,201807,0.075753,0.01033105421613669
159,14593,201901,0.055154,0.010335695350249353
160,93436,202109,0.054042,0.01032453034620835
